classifier,condition,acc,acc_change,consistency,mean_max_conf
resnet50_head,clean,0.978,0.0,1.0,0.9723066091537476
resnet50_head,gray,0.95,-0.028000000000000025,0.954,0.9576970338821411
resnet50_head,hue,0.948,-0.030000000000000027,0.96,0.9630128145217896
resnet50_head,patch,0.884,-0.09399999999999997,0.9,0.923870861530304
vit_b16_head,clean,0.974,0.0,1.0,0.9640794396400452
vit_b16_head,gray,0.952,-0.02200000000000002,0.954,0.9563822150230408
vit_b16_head,hue,0.954,-0.020000000000000018,0.96,0.934552013874054
vit_b16_head,patch,0.902,-0.07199999999999995,0.912,0.8959198594093323
clip_head,clean,0.984,0.0,1.0,0.33503100275993347
clip_head,gray,0.964,-0.020000000000000018,0.97,0.3067084848880768
clip_head,hue,0.96,-0.02400000000000002,0.96,0.30162468552589417
clip_head,patch,0.834,-0.15000000000000002,0.838,0.23175527155399323
clip_zeroshot,clean,0.978,0.0,1.0,0.9548328518867493
clip_zeroshot,gray,0.968,-0.010000000000000009,0.972,0.936535120010376
clip_zeroshot,hue,0.958,-0.020000000000000018,0.964,0.9270824193954468
clip_zeroshot,patch,0.82,-0.15800000000000003,0.824,0.8219666481018066
