classifier,pair,n_shape,n_texture,n_other,n_total,shape_bias_pct,coverage_pct
resnet50_head,cat-car,11,7,22,40,61.111111111111114,45.0
resnet50_head,dog-truck,5,7,28,40,41.666666666666664,30.0
resnet50_head,horse-ship,19,7,14,40,73.07692307692308,65.0
resnet50_head,deer-airplane,4,15,21,40,21.05263157894737,47.5
resnet50_head,bird-monkey,28,9,3,40,75.67567567567568,92.5
vit_b16_head,cat-car,21,7,12,40,75.0,70.0
vit_b16_head,dog-truck,15,2,23,40,88.23529411764706,42.5
vit_b16_head,horse-ship,20,5,15,40,80.0,62.5
vit_b16_head,deer-airplane,20,8,12,40,71.42857142857143,70.0
vit_b16_head,bird-monkey,33,4,3,40,89.1891891891892,92.5
clip_head,cat-car,27,3,10,40,90.0,75.0
clip_head,dog-truck,21,2,17,40,91.30434782608695,57.5
clip_head,horse-ship,22,3,15,40,88.0,62.5
clip_head,deer-airplane,22,3,15,40,88.0,62.5
clip_head,bird-monkey,29,8,3,40,78.37837837837837,92.5
clip_zeroshot,cat-car,29,8,3,40,78.37837837837837,92.5
clip_zeroshot,dog-truck,21,2,17,40,91.30434782608695,57.5
clip_zeroshot,horse-ship,29,3,8,40,90.625,80.0
clip_zeroshot,deer-airplane,18,3,19,40,85.71428571428571,52.5
clip_zeroshot,bird-monkey,28,10,2,40,73.6842105263158,95.0
