classifier,shift_px,acc,consistency
resnet50_head,0,0.978,1.0
resnet50_head,8,0.976,0.997
resnet50_head,16,0.971,0.9910000000000001
resnet50_head,32,0.9684999999999999,0.9864999999999999
vit_b16_head,0,0.974,1.0
vit_b16_head,8,0.9764999999999999,0.9855
vit_b16_head,16,0.974,0.9889999999999999
vit_b16_head,32,0.964,0.9765
clip_head,0,0.984,1.0
clip_head,8,0.982,0.9894999999999999
clip_head,16,0.979,0.9855
clip_head,32,0.9729999999999999,0.984
clip_zeroshot,0,0.978,1.0
clip_zeroshot,8,0.9794999999999999,0.988
clip_zeroshot,16,0.9754999999999999,0.9844999999999999
clip_zeroshot,32,0.9675,0.9835
