classifier,shift_px,direction,acc,consistency
resnet50_head,8,right,0.974,0.996
resnet50_head,8,left,0.976,0.998
resnet50_head,8,down,0.978,0.998
resnet50_head,8,up,0.976,0.996
resnet50_head,16,right,0.972,0.994
resnet50_head,16,left,0.974,0.99
resnet50_head,16,down,0.97,0.99
resnet50_head,16,up,0.968,0.99
resnet50_head,32,right,0.962,0.984
resnet50_head,32,left,0.976,0.99
resnet50_head,32,down,0.97,0.986
resnet50_head,32,up,0.966,0.986
vit_b16_head,8,right,0.976,0.986
vit_b16_head,8,left,0.976,0.99
vit_b16_head,8,down,0.98,0.984
vit_b16_head,8,up,0.974,0.982
vit_b16_head,16,right,0.964,0.988
vit_b16_head,16,left,0.976,0.994
vit_b16_head,16,down,0.982,0.988
vit_b16_head,16,up,0.974,0.986
vit_b16_head,32,right,0.962,0.986
vit_b16_head,32,left,0.968,0.978
vit_b16_head,32,down,0.964,0.97
vit_b16_head,32,up,0.962,0.972
clip_head,8,right,0.982,0.99
clip_head,8,left,0.978,0.988
clip_head,8,down,0.986,0.992
clip_head,8,up,0.982,0.988
clip_head,16,right,0.984,0.984
clip_head,16,left,0.978,0.986
clip_head,16,down,0.978,0.986
clip_head,16,up,0.976,0.986
clip_head,32,right,0.974,0.982
clip_head,32,left,0.974,0.984
clip_head,32,down,0.974,0.99
clip_head,32,up,0.97,0.98
clip_zeroshot,8,right,0.984,0.986
clip_zeroshot,8,left,0.974,0.984
clip_zeroshot,8,down,0.98,0.99
clip_zeroshot,8,up,0.98,0.992
clip_zeroshot,16,right,0.98,0.98
clip_zeroshot,16,left,0.974,0.984
clip_zeroshot,16,down,0.976,0.99
clip_zeroshot,16,up,0.972,0.984
clip_zeroshot,32,right,0.97,0.984
clip_zeroshot,32,left,0.966,0.982
clip_zeroshot,32,down,0.966,0.986
clip_zeroshot,32,up,0.968,0.982
