group,unknown class,n,acc. MSP,acc. MLS,acc. Energy,acc. Mahalanobis,acc. GCSC,acc. PROSER,acc. PROSER (placeholder),absorbed by,share
near,bus,100,0.9,0.83,0.83,0.91,0.83,0.84,0.86,truck,0.8313253012048193
near,pickup_truck,100,0.84,0.89,0.88,0.95,0.87,0.91,0.89,automobile,0.7752808988764045
near,motorcycle,100,0.54,0.37,0.35,0.47,0.27,0.4,0.41,automobile,0.6216216216216216
near,tractor,100,0.72,0.57,0.58,0.72,0.49,0.63,0.64,truck,0.7894736842105263
near,wolf,100,0.77,0.76,0.78,0.79,0.73,0.8,0.8,cat,0.4605263157894737
near,fox,100,0.7,0.71,0.75,0.69,0.64,0.67,0.65,cat,0.39436619718309857
near,leopard,100,0.68,0.67,0.65,0.69,0.63,0.71,0.75,frog,0.44776119402985076
near,camel,100,0.61,0.57,0.58,0.65,0.52,0.57,0.64,dog,0.2807017543859649
far,bottle,100,0.48,0.37,0.38,0.47,0.31,0.47,0.55,cat,0.3783783783783784
far,bowl,100,0.57,0.49,0.48,0.5,0.46,0.55,0.58,cat,0.3469387755102041
far,chair,100,0.58,0.39,0.39,0.53,0.36,0.44,0.46,airplane,0.5128205128205128
far,clock,100,0.62,0.45,0.45,0.51,0.36,0.64,0.66,automobile,0.3111111111111111
far,keyboard,100,0.6,0.36,0.33,0.44,0.43,0.39,0.4,truck,0.25
far,mushroom,100,0.61,0.58,0.58,0.59,0.54,0.51,0.61,bird,0.39655172413793105
far,sunflower,100,0.6,0.55,0.55,0.53,0.27,0.56,0.54,bird,0.4909090909090909
far,wardrobe,100,0.59,0.61,0.62,0.4,0.6,0.73,0.67,cat,0.5081967213114754
